14066,2,2,3
14067,3,4,6
14068,10,2,3
14069,6,0,5
14070,9,5,5
14071,11,3,3
14072,6,0,3
14073,10,4,4
14074,5,3,5
14075,6,0,4
14076,4,4,5
14077,5,2,4
14078,6,0,2
14079,10,3,3
14080,11,11,15
14081,7,2,4
14082,6,0,5
14083,1,2,5
14084,11,3,3
14085,3,4,4
14086,3,2,5
14087,5,3,5
14088,6,0,5
14089,5,2,4
14090,6,0,3
14091,10,4,5
14092,6,0,4
14093,10,3,3
14094,6,0,5
14095,1,2,5
14095,5,2,5
14097,6,0,3
14098,5,3,5
14099,5,2,3
14100,1,2,4
14101,10,2,3
14102,5,2,5
14102,3,2,5
14104,5,2,5
14104,10,2,5
14106,3,2,4
14107,6,0,5
14108,1,3,5
14090,6,0,3
14110,6,0,4
14111,6,0,5
14078,6,0,1
14113,11,2,4
14114,7,2,4
14115,1,4,5
14116,7,2,5
14117,11,2,4
14108,5,3,5
14119,3,2,4
14120,2,2,4
14121,8,3,5
14122,11,2,4
14122,9,2,4
14124,10,2,4
14125,11,3,5
14126,6,0,4
14127,5,2,5
14128,1,2,5
14128,2,2,5
14130,1,2,3
14131,6,0,4
14132,12,2,3
14133,6,0,3
14134,5,2,4
14074,2,2,4
14113,6,0,2
14137,5,2,5
14138,11,2,3
14139,4,2,3
14140,5,2,5
14140,3,2,5
14142,6,0,3
14072,1,2,4
14144,2,3,6
14145,9,2,3
14080,5,2,5
14147,11,3,5
14148,1,5,15
14149,6,0,5
14150,11,2,5
14150,1,2,5
14152,7,2,4
14153,6,0,3
14154,12,2,5
14155,5,2,5
14156,6,0,5
14157,2,2,3
14158,11,2,5
14159,5,2,6
14159,7,2,6
14161,5,4,5
14162,5,2,3
14163,6,0,3
14148,6,0,3
14165,11,3,3
14098,5,2,4
14167,6,0,3
14168,1,2,5
14169,2,2,3
14170,11,2,5
14171,6,0,3
14113,6,0,4
14173,5,2,5
14174,6,0,2
14175,1,3,4
14176,6,0,3
14177,12,7,11
14178,5,2,3
14179,11,3,5
14180,10,2,6
14180,3,2,6
14182,11,2,5
14182,5,2,5
14184,6,0,3
14185,11,2,4
14185,5,2,4
14187,10,2,5
14188,11,2,4
14170,11,2,4
14190,11,2,5
14190,3,2,5
14192,12,2,4
14193,11,3,3
14194,6,0,4
14195,11,2,4
14074,2,2,4
14197,10,3,5
14198,11,2,6
14198,7,2,6
14150,3,2,4
14201,8,2,4
14202,6,0,3
14203,6,0,3
14174,6,0,1
14074,5,2,5
14074,4,2,5
14207,5,3,5
14208,6,0,3
14209,6,0,3
14210,2,2,3
14165,11,4,4
14212,5,2,3
14213,6,0,5
14214,5,2,4
14087,2,2,5
14216,3,4,5
14217,6,0,4
14218,6,0,3
14219,3,2,3
14220,6,0,4
14221,6,0,3
14222,4,2,4
14223,5,2,9
14224,11,2,4
14225,6,0,3
14226,3,4,11
14227,4,2,3
14228,11,2,4
14229,6,0,3
