3 amidst
4 ammonia
11 ammunition
3 amnesia
36 amnesty
12 amorphous
4 amortization
73 amount
6 amour
5 ampersand
7 amphetamines
4 amphibian
5 amphibious
11 amphitheater
14 amplification
30 amplify
6 amplitude
3 amply
4 amputation
3 amulet
9 amuse
7 amused
40 amusement
12 amusing
4 ana
11 anaconda
7 anaesthesia
43 anaesthetic
4 anal
3 analgesic
5 analogous
4 analogue
26 analogy
16 analysis
11 analyst
31 analytic
9 analyze
3 analyzer
4 anarchism
8 anarchist
12 anarchy
8 anastomosis
3 anathema
3 anatomic
36 anatomy
4 ancestor
11 ancestral
36 ancestry
10 anchor
24 anchorage
3 ancient
4 ancillary
4 androgen
3 anemone
10 anew
3 angel
14 angelic
8 anger
5 angina
8 angiography
26 angle
5 angling
12 angry
18 anguish
5 angular
5 anhydrous
18 animal
22 animate
43 animated
14 animation
39 animosity
6 animus
4 ankle
24 annals
12 annex
14 annexation
4 annexe
10 annihilate
3 annihilated
16 annihilation
5 annotate
23 annotation
40 announce
11 announcement
22 annoy
24 annoyance
5 annoying
3 annuity
4 annul
4 annular
12 annulment
4 annulus
3 anointing
17 anomalous
10 anomaly
5 anon
4 anonymous
19 answer
22 answerable
5 answering
4 ant
31 antagonism
18 antagonist
26 antagonistic
12 ante
37 antecedent
3 antelope
4 antenna
35 anterior
3 anthem
17 anthology
5 anthrax
19 anthropology
5 antibiotic
5 antibiotics
5 antichrist
13 anticipation
3 anticipatory
4 antidote
4 antifungal
4 antimony
18 antipathy
18 antiquarian
18 antiquated
5 antique
17 antiquity
5 antiseptic
5 antisocial
4 antithesis
15 antithetical
8 antiviral
4 antler
3 anvil
40 anxiety
3 anxious
4 aorta
23 apace
4 apache
18 apartment
4 apathetic
19 apathy
9 ape
4 aperture
3 apex
3 aphid
4 apiece
32 aplomb
5 apocalyptic
6 apologetic
5 apologist
7 apologize
33 apology
28 apostasy
9 apostate
14 apostle
5 apostolic
4 apostrophe
5 appalling
5 apparatus
3 apparel
7 apparently
15 apparition
34 appeal
38 appearance
3 appease
5 appellant
40 append
12 appendage
5 appendicitis
4 appendix
3 appetite
14 appetizer
3 applause
4 apple
5 appliance
3 appliances
17 applicability
7 applicable
17 applicant
18 application
15 apply
7 appoint
36 appointment
4 appointments
7 apportionment
15 appraise
3 appreciable
38 appreciation
34 apprehend
14 apprehension
6 apprehensive
5 apprentice
3 apprenticeship
14 approach
5 approaching
41 approbation
44 appropriation
39 approval
3 approve
4 approving
28 approximate
14 approximately
3 approximating
7 approximation
3 appurtenances
13 apron
45 apt
12 aptitude
5 aqua
4 aquamarine
3 aquarium
6 aquatic
4 aqueduct
4 aqueous
4 arable
33 arbiter
15 arbitrate
11 arbitration
59 arbitrator
13 arbor
4 arc
28 arcade
10 arch
5 archaeological
4 archaeologist
4 archaeology
11 archaic
5 archbishop
31 arched
29 archer
15 archery
13 archetype
4 archipelago
15 architect
34 architecture
3 archive
8 arctic
24 ardent
24 ardor
5 arduous
15 area
13 arena
5 areola
4 argent
20 argue
27 argument
4 argumentation
4 argumentative
4 arguments
36 arid
9 aristocracy
6 aristocrat
8 aristocratic
5 arithmetic
22 ark
14 arm
5 armada
9 armament
3 armaments
3 armature
12 armed
8 armor
10 armored
24 armory
10 arms
40 army
3 aroma
3 arousal
9 arouse
17 arraignment
28 arrange
18 arranged
9 arrangement
12 array
5 arrears
20 arrest
7 arrival
22 arrive
44 arrogance
30 arrogant
26 arrow
4 arsenal
4 arsenic
5 arson
36 art
12 artery
19 artful
5 arthropod
6 artichoke
12 article
10 articles
4 articulate
17 articulation
7 artifice
26 artillery
3 artisan
12 artist
3 artiste
27 artistic
3 artists
7 ascend
4 ascendancy
3 ascension
18 ascent
8 ascertain
9 ascertained
4 ascetic
4 ash
3 ashamed
19 ashes
6 asleep
7 asp
5 aspartame
15 aspect
4 aspects
4 asphalt
30 aspiration
6 aspire
3 aspiring
17 ass
34 assail
41 assailant
13 assassin
5 assassinate
5 assassination
5 assault
13 assay
6 assemblage
16 assemble
3 assembled
24 assembly
10 assent
9 assert
4 asserting
3 assertion
30 assess
13 assessment
41 assets
4 asshole
9 assign
5 assignee
24 assignment
16 assimilate
10 assimilation
4 assist
3 assistance
4 assistant
26 associate
17 association
3 assorted
20 assortment
9 assuage
4 assumed
5 assuming
4 assumption
18 assurance
5 assure
14 assured
3 assuredly
6 asterisk
5 asteroids
3 astonishingly
6 astonishment
4 astral
10 astray
8 astringent
4 astrologer
16 astrology
4 astronaut
4 astronomer
3 astronomy
13 astute
12 asunder
11 asylum
15 asymmetric
4 asymmetry
3 asymptotic
17 atelier
15 atheism
5 atheist
4 atheistic
5 atherosclerosis
14 athlete
4 athletic
5 athleticism
3 athletics
7 atlas
11 atmosphere
11 atmospheric
4 atoll
14 atom
10 atomic
15 atone
31 atonement
3 atrium
14 atrocious
29 atrocity
38 atrophy
11 attach
15 attachment
17 attack
4 attacking
3 attain
4 attainable
6 attainment
4 attempt
4 attendance
21 attendant
26 attention
5 attentive
26 attenuate
3 attenuated
7 attenuation
31 attest
12 attestation
3 attic
5 attire
6 attitude
28 attorney
16 attraction
6 attractiveness
5 attributable
4 attribute
9 attribution
5 attrition
5 auburn
11 auction
13 auctioneer
4 audacious
29 audacity
6 audible
28 audience
31 audit
14 audition
40 auditor
20 auditorium
10 auditory
12 aught
34 augment
32 augmentation
3 august
3 aunt
4 aura
16 aurora
30 auspices
49 auspicious
16 austere
15 austerity
9 authentic
3 authenticate
22 authentication
4 authenticity
6 author
12 authoritative
8 authority
4 authorization
13 authorize
7 authorized
4 authorship
5 auto
5 autobiography
12 autocratic
8 autograph
4 automatic
10 automobile
3 autonomy
7 autopsy
3 autumn
26 auxiliary
8 avail
9 avalanche
12 avarice
8 avatar
4 avenger
17 avenue
4 aver
7 average
8 averse
13 aversion
5 avert
18 aviary
4 aviation
3 aviator
3 avid
5 avocado
13 avoid
5 avoidance
4 avoiding
26 await
4 awake
6 award
6 awe
4 awful
8 awkwardness
13 awning
12 awry
5 axial
3 axiom
16 axiomatic
16 axis
9 axle
4 ay
4 aye
20 azimuth
3 azure
15 babble
4 babbling
5 baboon
10 baby
4 babysitter
7 baccalaureate
3 baccarat
3 bachelor
20 back
25 backbone
8 backer
3 backfire
4 backgammon
8 background
5 backhoe
6 backpacker
4 backtrack
5 backward
5 backwater
9 bacteria
6 bacterium
16 bad
5 badge
6 badger
4 badly
17 badness
8 baffle
5 bag
10 baggage
5 baggy
3 bagpipes
8 bail
39 bailiff
3 bait
5 bake
3 bakery
4 baking
3 bal
6 balance
18 balanced
4 balcony
17 bald
8 bale
34 balk
9 ball
16 ballad
3 ballast
15 ballet
3 balloon
4 ballot
3 ballroom
35 balm
12 balmy
5 balsam
10 balsamic
15 ban
5 banana
12 band
7 bandage
5 bandit
7 bandwagon
6 bane
16 bang
3 banger
38 banish
4 banished
14 banishment
3 banjo
17 bank
9 banker
17 bankrupt
19 bankruptcy
5 banner
15 banquet
8 banshee
9 banter
4 baptism
3 baptismal
16 bar
14 barb
8 barbaric
6 barbarism
8 barbecue
11 barbed
22 bard
4 bareback
3 barefoot
5 barely
7 barf
20 bargain
5 barge
4 baritone
20 bark
5 barn
3 barney
19 barometer
6 baron
8 baroque
11 barrack
6 barred
36 barrel
16 barren
47 barricade
14 barrier
8 barring
5 barrister
7 barrow
4 bartender
48 barter
8 base
3 baseball
5 baseboard
20 baseless
12 basement
4 basilica
43 basin
22 basis
3 bask
5 basket
3 basketball
9 bass
4 basso
5 bassoon
16 bastard
4 bastion
6 bat
18 batch
6 batching
4 bate
8 bath
8 bathe
5 bathroom
4 bathymetry
21 baton
4 battalion
7 batter
17 battered
14 battery
18 battle
4 battled
4 battlefield
4 bawdy
11 bay
14 bayonet
4 bayou
3 bazaar
6 beach
10 beacon
13 bead
4 beading
3 beads
4 beagle
12 beak
5 beaker
13 beam
3 beaming
15 bear
24 beard
13 bearded
11 bearer
15 bearing
12 bearings
3 bearish
14 beast
5 beastly
8 beat
8 beating
7 beau
3 beautification
13 beautiful
14 beautify
6 beauty
9 beck
12 beckon
10 bed
4 bedding
3 bedrock
4 bedroom
5 bedtime
25 bee
3 beef
14 beehive
17 beer
4 beeswax
3 beetle
5 befall
3 befitting
17 befriend
8 beg
32 beggar
5 begging
3 begin
5 beginner
5 beginning
4 begun
4 behavior
5 behemoth
5 behest
21 behold
4 beholden
3 beholder
3 belated
17 belay
3 belief
3 believed
3 believer
15 believing
7 belittle
6 bell
13 belligerent
12 bellow
8 bellows
14 belly
3 belongings
34 belt
3 bemused
9 bench
14 bend
4 bender
12 bending
5 beneath
20 benefactor
12 beneficial
5 beneficiary
8 benefit
28 benevolence
3 benign
5 bent
3 benzene
3 bequeath
3 bequest
24 bereaved
9 bereavement
9 bereft
3 bergamot
3 berlin
24 berserk
11 berth
8 beseech
6 beset
